Date,Open,High,Low,Close,Volume
43132,7377.169922,7441.089844,7362.279785,7385.859863,2311180000
43133,7347.589844,7364.430176,7238.180176,7240.950195,2607160000
43136,7165.959961,7277.359863,6967.529785,6967.529785,3143210000
43137,6837.560059,7126.549805,6824.819824,7115.879883,3148270000
43138,7086.200195,7170.339844,7051.529785,7051.97998,2380020000
43139,7067.299805,7073.990234,6776.77002,6777.160156,2730740000
43140,6863.339844,6917.009766,6630.669922,6874.490234,3165330000
43143,6936.680176,7023.620117,6879.689941,6981.959961,2250650000
43144,6942.160156,7025.680176,6938.160156,7013.509766,1830320000
43145,6979.240234,7152.049805,6977.069824,7143.620117,2217630000
43146,7200.75,7256.930176,7130.390137,7256.430176,2124060000
43147,7236.509766,7303.259766,7226.379883,7239.470215,2037710000
43151,7209.029785,7295.950195,7206,7234.310059,1921870000
43152,7258.47998,7338.640137,7218.109863,7218.22998,1956120000
43153,7252.459961,7280.930176,7194.839844,7210.089844,1927580000
43154,7261.350098,7337.830078,7232.5,7337.390137,1887540000
43157,7373.299805,7421.850098,7360.25,7421.459961,1876560000
43158,7416.169922,7438.089844,7330.350098,7330.350098,2162250000
43159,7371.410156,7386.799805,7273.009766,7273.009766,2384940000
43160,7274.75,7307.850098,7117.660156,7180.560059,2499010000
43161,7099.540039,7267.189941,7084.830078,7257.870117,2291480000
43164,7222.890137,7350.069824,7205.310059,7330.709961,2076870000
43165,7366.609863,7378.029785,7319.680176,7372.009766,2132920000
43166,7311.740234,7403.790039,7311.740234,7396.649902,2198610000
43167,7422.77002,7435.009766,7391.5,7427.950195,2277740000
43168,7475.97998,7560.810059,7469.029785,7560.810059,2310050000
43171,7581.040039,7609.100098,7563.439941,7588.319824,2314480000
43172,7627.52002,7637.27002,7492.97998,7511.009766,2459220000
43173,7539.779785,7544.890137,7473.899902,7496.810059,2112950000
43174,7509.240234,7525.439941,7463.189941,7481.740234,2008290000
43175,7504.370117,7514.209961,7473.680176,7481.990234,3089970000
43178,7419.200195,7421.22998,7285.27002,7344.240234,2352810000
43179,7353.25,7380.740234,7331.240234,7364.299805,1976000000
43180,7347.5,7415.660156,7325.350098,7345.290039,1999230000
43181,7257.549805,7303.189941,7164.379883,7166.680176,2370970000
43182,7170.680176,7194.310059,6992.669922,6992.669922,2455760000
43185,7125.200195,7225.830078,7022.339844,7220.540039,2341370000
43186,7255.470215,7255.540039,6963.680176,7008.810059,2347480000
43187,6978.299805,7036.089844,6901.069824,6949.22998,2551950000
43188,6984.660156,7120.459961,6935.779785,7063.450195,2593390000
43192,7016.169922,7044.709961,6805.959961,6870.120117,2402670000
43193,6924.350098,6963.709961,6835.22998,6941.279785,2330900000
43194,6811.77002,7059.290039,6811.77002,7042.109863,2261580000
43195,7099.25,7112.379883,7036.620117,7076.549805,2153030000
43196,6999.569824,7066.640137,6877.759766,6915.109863,2359780000
43199,6971.450195,7074.950195,6944.959961,6950.339844,2089220000
43200,7060.990234,7117.97998,7014.879883,7094.299805,2252020000
43201,7055,7128.540039,7055,7069.029785,1882090000
43202,7112.02002,7166,7105.089844,7140.25,2027080000
43203,7179.620117,7183.620117,7078.140137,7106.649902,1768160000
